MapVersion,AddressId,TagId,X,Y,Theta,OffsetX,OffsetY,OffsetTheta,IsChargeStation,StorageStationId,ChargerX,ChargerY,ChargerTheta,KnownObstacle,AllowVehiclePosition,AllowCargoPosition,IsPickupStation,IsNarrowStation,IsNotWaitingStation
2026010605,100100100,102781,0,0,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100100200,102827,0,1000,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100100300,102830,0,2200,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100100400,102826,0,3600,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100100600,103153,0,5500,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100100900,102828,0,7450,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100101100,102747,0,8562,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100101300,102748,0,10002,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100101600,102670,0,11752,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100102000,100476,0,13702,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100102500,100479,0,15652,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100102800,100478,0,17602,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100103100,100562,0,19177,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100103400,100473,0,20677,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100103600,100474,0,21322,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100103900,100489,0,22822,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104200,100567,0,24322,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104300,100566,0,25542,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104400,100565,0,27265,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104500,100492,0,28450,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104700,100497,0,29525,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100104900,100493,0,30610,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
2026010605,100105200,100495,0,31735,0,0,0,0,FALSE,,0,0,0,270,0/90/180/270,0/90/180/270,FALSE,FALSE,FALSE
