MapVersion,ShelfId,AddressId,VerticalRange,HorizontalRange
2026010605,DB00,100502800,970,0
2026010605,DB01,100502500,970,0
2026010605,DB02,100502000,970,0
2026010605,DB03,100501600,970,0
2026010605,DB04,100501300,970,0
2026010605,PR201,100307800,0,0
2026010605,PR202,100707800,0,0
2026010605,PR203,100907800,0,0
2026010605,PR204,100607400,970,0
2026010605,PR205,101007400,970,0
2026010605,PR206,101507400,970,0
2026010605,PR207,101907400,970,0
2026010605,PR208,102107400,970,0
2026010605,RL01,100707200,970,0
2026010605,RL02,101507200,970,0
2026010605,RL03,101907200,970,0
2026010605,RL04,100707000,970,0
2026010605,RL05,101507000,970,0
2026010605,RL06,101907000,970,0
2026010605,RL07,100706800,970,0
2026010605,RL08,101506800,970,0
2026010605,RL09,101906800,970,0
2026010605,RL10,100706600,970,0
2026010605,RL11,101506600,970,0
2026010605,RL12,101906600,970,0
2026010605,RL13,100706400,970,0
2026010605,RL15,101906400,970,0
2026010605,RL16,100705700,970,0
2026010605,RL17,101505700,970,0
2026010605,RL18,101905700,970,0
2026010605,RL19,100705400,970,0
2026010605,RL20,101505400,970,0
2026010605,RL21,101905400,970,0
2026010605,RL22,100704900,970,0
2026010605,RL23,101504900,970,0
2026010605,RL24,101904900,970,0
2026010605,RL25,100704500,970,0
2026010605,RL26,101504500,970,0
2026010605,RL27,101904500,970,0
2026010605,RL28,100603900,970,0
2026010605,RL29,101303900,970,0
2026010605,RL30,101803900,970,0
2026010605,RL31,100603500,970,0
2026010605,RL32,101303500,970,0
2026010605,RL33,101803500,970,0
2026010605,TT101,100501100,970,0
2026010605,TT102,100901100,970,0
2026010605,TT103,101501100,970,0
2026010605,TT104,101901100,970,0
2026010605,TT105,100500600,970,0
2026010605,TT106,100900600,970,0
2026010605,TT107,101500600,970,0
2026010605,TT108,101900600,970,0
2026010605,TT109,100500500,970,0
2026010605,TT110,100900500,970,0
2026010605,TT111,101500500,970,0
2026010605,TT112,101900500,970,0
2026010605,TT113,101008500,0,0
2026010605,TT114,101008300,0,0
2026010605,TT115,101008100,0,0
