MapVersion,ShelfId,AddressId,VerticalRange,HorizontalRange
2025121101,SLF003074,100307400,0,0
2025121101,SLF004071,100407100,0,0
2025121101,SLF005071,100507100,0,0
2025121101,SLF005074,100507400,0,0
2025121101,SLF007074,100707400,0,0
2025121101,Pak301_material,100806700,0,0
2025121101,Pak310_material,100903700,0,0
2025121101,Pak306_material,100905000,0,0
2025121101,Pak305_material,100905600,0,0
2025121101,SLF009071,100907100,0,0
2025121101,SLF010074,101007400,0,0
2025121101,SLF012071,101207100,0,0
2025121101,Pak311_material,101403200,0,0
2025121101,Pak309_material,101403800,0,0
2025121101,Pak308_material,101404400,0,0
2025121101,Pak307_material,101404800,0,0
2025121101,Pak304_material,101405700,0,0
2025121101,Pak303_material,101406200,0,0
2025121101,Pak302_material,101406600,0,0
2025121101,SLF014074,101407400,0,0
2025121101,Pak301,101607100,0,0
2025121101,SLF017074,101707400,0,0
2025121101,SLF018028,101802800,0,0
2025121101,SLF018030,101803000,0,0
2025121101,Pak311,101803300,0,0
2025121101,Pak310,101803500,0,0
2025121101,Pak309,101803900,0,0
2025121101,Pak308,101804200,0,0
2025121101,Pak307,101804600,0,0
2025121101,Pak306,101805200,0,0
2025121101,Pak305,101805400,0,0
2025121101,Pak304,101805900,0,0
2025121101,Pak303,101806100,0,0
2025121101,Pak302,101806500,0,0
2025121101,Pak311_temp,102302500,0,0
2025121101,Pak310_temp,102302600,0,0
2025121101,SLF023030,102303000,0,0
2025121101,Pak309_temp,102304100,0,0
2025121101,Pak308_temp,102304300,0,0
2025121101,Pak307_temp,102304500,0,0
2025121101,Pak306_temp,102304700,0,0
2025121101,Pak305_temp,102305300,0,0
2025121101,Pak304_temp,102305500,0,0
2025121101,Pak303_temp,102305700,0,0
2025121101,Pak302_temp,102306700,0,0
2025121101,Pak301_temp,102306900,0,0
