MapVersion,AddressId,TagId,X,Y,Theta,OffsetX,OffsetY,OffsetTheta,IsChargeStation,StorageStationId,ChargerX,ChargerY,ChargerTheta,KnownObstacle,AllowVehiclePosition,AllowCargoPosition,IsPickupStation,IsNarrowStation
2025121101,100107300,,0,77945,0,0,0,0,FALSE,P001073,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100207300,,650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100307300,,1650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,100307400,,1650,79425,0,0,0,0,FALSE,SLF003074,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100407100,,2150,76465,0,0,0,0,FALSE,SLF004071,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100407300,,2150,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,100507100,,3150,76465,0,0,0,0,FALSE,SLF005071,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100507300,,3150,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,100507400,,3150,79425,0,0,0,0,FALSE,SLF005074,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100607300,,3650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,100707300,,4650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,100707400,,4650,79425,0,0,0,0,FALSE,SLF007074,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100903700,,5445,45095,0,0,0,0,FALSE,Pak310_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100905000,,5445,56240,0,0,0,0,FALSE,Pak306_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100905600,,5445,61845,0,0,0,0,FALSE,Pak305_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100806700,,5445,73075,0,0,0,0,FALSE,Pak301_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,100907100,,5445,76465,0,0,0,0,FALSE,SLF009071,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,100907300,,5445,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101007300,,6150,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101007400,,6150,79425,0,0,0,0,FALSE,SLF010074,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101203700,,6645,45095,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101205000,,6645,56240,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101205600,,6645,61845,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101106700,,6645,73075,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101207100,,6650,76465,0,0,0,0,FALSE,SLF012071,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101307300,,6650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101403200,102800,7490,39670,0,0,0,0,FALSE,Pak311_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101403700,,7650,45095,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101403800,,7650,46595,0,0,0,0,FALSE,Pak309_material,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101404400,,7650,51590,0,0,0,0,FALSE,Pak308_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101404800,,7650,54830,0,0,0,0,FALSE,Pak307_material,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101405000,,7650,56240,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101405600,,7650,61845,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101405700,,7650,63250,0,0,0,0,FALSE,Pak304_material,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101406200,,7650,68340,0,0,0,0,FALSE,Pak303_material,0,0,0,,0/90/180/270,0/180,FALSE,FALSE
2025121101,101406600,,7650,71665,0,0,0,0,FALSE,Pak302_material,0,0,0,,0/90/180/270,90/270,FALSE,FALSE
2025121101,101406700,,7650,73075,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
2025121101,101507300,,7650,77945,0,0,0,0,FALSE,,0,0,0,,0/90/180/270,0/90/180/270,FALSE,FALSE
